trial_id,lr,weight_lr_ratios,batch_size,momentum,objective
000000,0.7274353425491261,2.945524230673795e-05,98,0.9623820774285551,97.87234042553192
000001,0.23262747213076798,0.0008538186039747671,204,0.8289161652326584,86.17021276595744
000002,0.753676437247824,0.000416926773085259,128,0.9601483028382063,97.87234042553192
000003,0.662136823321227,0.0005783504973184318,235,0.8915074734017253,97.5
000004,0.32075756452530624,0.00014118213926255703,72,0.9225568966940045,97.02127659574468
000005,0.40219119996828956,0.0007239411777034403,156,0.935911456309259,97.81914893617021
000006,0.6155965487791225,3.754131180606783e-05,175,0.8531530121341349,97.87234042553192
000007,0.9532203817978502,0.0009384658736204729,91,0.9983074627816677,97.87234042553192
000008,0.06019568425798789,0.00025130549847055233,215,0.8157569069415331,84.73404255319149
000009,0.11697393253855408,0.0005550356442984195,100,0.8654806930571795,81.43617021276596
000010,0.9005696999979206,0.00024255769661813976,231,0.9454556964337826,97.87234042553192
000011,0.559062412984576,0.0007678254359262066,147,0.8030842104926705,96.64893617021276
000012,0.07216671809811441,0.000586606006616445,133,0.8430053102825676,82.12765957446808
000013,0.0308495687565709,0.0006546960215843877,102,0.8455806851630076,83.88297872340425
000014,0.1290579845125922,0.0004992583139879641,119,0.8426190170322407,81.48936170212767
000015,0.08327145860829173,0.0005382646426357399,115,0.8344147935624453,81.91489361702128
000016,0.12923299004458697,0.0007008874259301835,110,0.8473244484412461,84.14893617021276
000017,0.2384663691543677,0.00041561586538241616,138,0.8349623019026214,90.2127659574468
000018,0.09362860103776173,0.00044037994054707823,124,0.8661544822619343,81.01063829787233
000019,0.09848686059205992,0.00046387843040587195,120,0.8512626114032533,81.96808510638297
000020,0.09464208128610241,0.0005162337808908482,160,0.8864295202616682,83.35106382978724
000021,0.2490489115039339,0.0004453646870958386,88,0.8782578465920586,91.48936170212767
000022,0.07839236489971348,0.00037590989357504903,88,0.8607117186648249,85.15957446808511
000023,0.11154027789727283,0.0005785213975524158,110,0.852526097471167,83.77659574468085
000024,0.08913726347612014,0.000535769328001797,166,0.8254578362921774,82.65957446808511
000025,0.20929984340400332,0.0003844219812097357,134,0.8992085682210677,88.56382978723404
000026,0.07645590147504583,0.00040840897965917493,147,0.8436004112738111,82.65957446808511
000027,0.0910642118868044,0.000529333065955789,139,0.8135310986695737,83.03191489361703
000028,0.07234277669741847,0.0008068203174536857,234,0.8316099631470383,82.97872340425532
000029,0.16716939201833256,0.00024994934551188583,119,0.8709580867993318,87.4468085106383
000030,0.09112647805622871,0.0006505162533675558,177,0.8568176472831817,86.70212765957447
000031,0.06623197246580825,0.0005416783390382247,131,0.8233731391799981,83.13829787234043
000032,0.11620723897068229,0.0006703842221956314,255,0.8,83.88297872340425
000033,0.35168261043023774,0.0005754081019861134,109,0.8647984551606609,94.57446808510639
000034,0.09508948199311212,0.0009999999999999998,255,0.8,89.62765957446808
000035,0.08142260815836994,0.000523922004883519,134,0.8458675299318146,84.57446808510639
000036,0.0001,0.0005273333661903085,255,0.8401712840613166,97.81914893617021
000037,0.13234985117886042,0.00041499288511347284,85,0.823712839441816,84.36170212765957
000038,0.13483181854369966,0.0007628223067340221,201,0.8,85.37234042553192
000039,0.10820586658424196,0.0005516215929831379,114,0.836159406195429,86.59574468085107
000040,0.13080652355299274,0.00033271511131179743,197,0.8049857897259446,86.38297872340425
000041,0.09651432406145005,0.00042093477549347334,121,0.8804063483493845,82.92553191489361
000042,0.08671866884437453,0.000698342621309874,90,0.9120648661051529,82.7127659574468
000043,0.08900113991964026,0.00047666449082183133,140,0.8290202289602724,85.79787234042553
000044,0.11427010853685103,0.0009415261969202542,129,0.9152561237302175,84.57446808510639
000045,0.09865407143161894,0.00010861597061974554,180,0.9914788161719681,90.0
000046,0.07884480273281451,0.0008500627493529606,64,0.8653833364377057,83.98936170212767
000047,0.10211809881575755,0.0005302942187387638,95,0.8807532503060221,83.51063829787233
000048,0.046714385729477455,0.0006170648459033696,64,0.9396762261531335,85.0
000049,0.29781495491010457,0.0006086426382388713,113,0.8176360466233844,90.58510638297872
000050,0.08613156239451845,0.0009999999999999998,104,0.8,85.47872340425532
000051,0.09368490702745666,0.000459648508830679,105,0.8698818596205986,83.93617021276596
000052,0.15767069761017946,0.0007225616604595622,254,0.898660752624426,85.79787234042553
000053,0.0005719691550499349,0.0006958136718313868,76,0.807649093342923,95.05319148936171
000054,0.12230773933364307,0.0006666625561310559,64,0.9294376839137257,87.81914893617021
000055,0.10392701004666535,0.0004571896590611607,124,0.8532758832260474,83.03191489361703
000056,0.06731928644400681,0.0008229226488506995,130,0.8923938462910861,83.51063829787233
000057,0.23130418986521628,0.0007240882851286013,155,0.8588800144242256,89.68085106382979
000058,0.1113601432060278,0.0003147999193474001,250,0.8665320733068671,87.07446808510639
000059,0.07981941744674634,0.0004990817283756309,122,0.8410624357403449,84.14893617021276
000060,0.05907548184166902,0.0009999999999999998,137,0.9472167711080226,82.3936170212766
000061,0.12132289763907253,0.0008442959854867854,150,0.9623532796518721,83.19148936170212
000062,0.08406603112520197,0.0009999999999999998,187,0.9526226989559482,83.03191489361703
000063,0.07363353769036286,0.0008629941295852266,153,0.9698084127297162,81.22340425531915
000064,0.07072915367274898,0.0009999999999999998,129,1.0,90.53191489361703
000065,0.026947523827897706,0.0006457513901663973,105,0.8666814898694647,83.98936170212767
000066,0.07321024232175416,0.0007244208541294484,153,0.9234734316398645,84.41489361702128
000067,0.07164248098492497,0.0008309972581837564,137,0.9796834625696988,83.77659574468085
000068,0.10131762896558753,0.0009999999999999998,191,0.91220062532402,83.61702127659575
000069,0.24352509000479647,0.0005527612046723552,123,0.8648190780137945,91.70212765957447
000070,0.07947067038739827,0.0005902299405470782,153,0.8961544822619342,83.19148936170212
000071,0.23861410103776168,0.00029552494054707823,152,0.8951544822619342,89.57446808510639
000072,0.18281370534123376,0.0004591795142217883,116,0.8479609245670984,88.24468085106383
000073,0.0001,0.0005752449405470782,150,0.8931544822619342,97.55319148936171
000074,0.0001,0.00031050994054707825,149,0.8921544822619342,97.44680851063829
000075,0.11568740677555268,0.0005484761406212716,109,0.8477101115895431,87.12765957446808
000076,0.0001,0.00032049994054707823,147,0.8901544822619342,97.65957446808511
000077,0.027874707780437737,0.00034115416117654106,138,0.8431544822619342,84.84042553191489
000078,0.07135814366635608,0.00043724058168731917,121,0.8611895929808024,83.82978723404256
000079,0.09987911403190293,0.00033548494054707825,144,0.8785232010208006,84.46808510638297
000080,0.0001,0.0005402799405470781,143,0.8861544822619342,97.55319148936171
000081,0.10277334066452992,0.00047812507746471187,123,0.8698284380338827,85.15957446808511
000082,0.18361960103776168,0.00035046994054707827,142,0.8481544822619342,87.87234042553192
000083,0.17862010103776169,0.0003554649405470782,141,0.8491544822619342,87.12765957446808
000084,0.11645494558251718,0.00040647048605337244,130,0.8664635855116937,82.76595744680851
000085,0.018636101037761726,0.00036545494054707824,139,0.8511544822619342,84.30851063829788
000086,0.023635601037761717,0.0003704499405470782,138,0.8801544822619343,82.65957446808511
000087,0.08759527635876006,0.0004213928393675573,125,0.8714198052012387,81.96808510638297
000088,0.03363460103776173,0.00038043994054707826,136,0.8541544822619342,86.17021276595744
000089,0.1426945123522073,0.0004941679669359712,134,0.8751408661526674,84.09574468085107
000090,0.09722783500392547,0.0004341517608102541,127,0.866520121377288,84.62765957446808
000091,0.13862410103776168,0.0003954249405470783,116,0.8571544822619342,83.40425531914894
000092,0.05602921484407649,0.00047628041352170645,118,0.8589327220783615,83.45744680851064
000093,0.09605111199957272,0.00044091685256568425,123,0.8686834577930375,83.03191489361703
000094,0.12362560103776171,0.0004703499405470782,118,0.8721544822619343,83.13829787234043
000095,0.11424835171230098,0.0004637341820063827,123,0.871033344557234,83.51063829787233
000096,0.09032485825271357,0.0004433517203170487,123,0.8644935444954753,82.65957446808511
000097,0.10862710103776171,0.0004253949405470782,127,0.8631544822619343,82.6063829787234
000098,0.09357571251344361,0.00043256836201123087,126,0.8680891650074207,83.56382978723404
000099,0.09862810103776172,0.0004453749405470782,123,0.8671544822619343,83.67021276595744
